Date,Open,High,Low,Close,Adj Close,Volume
"Oct 21, 2021",501.35,504.65,467.42,471.26,471.26,"3,081,793,454"
"Oct 20, 2021",488.05,505.27,482.25,501.02,501.02,"1,890,415,594"
"Oct 19, 2021",485.10,497.26,481.97,488.15,488.15,"1,844,483,840"
"Oct 18, 2021",470.91,487.50,467.58,485.11,485.11,"1,999,805,026"
"Oct 17, 2021",465.72,472.30,455.41,470.63,470.63,"1,646,437,501"
"Oct 16, 2021",473.99,483.56,463.51,465.64,465.64,"1,904,086,807"
"Oct 15, 2021",472.60,476.76,453.90,473.70,473.70,"2,804,538,828"
"Oct 14, 2021",470.54,482.64,461.86,472.02,472.02,"2,486,819,344"
"Oct 13, 2021",444.41,471.66,434.45,470.75,470.75,"5,149,146,903"
"Oct 12, 2021",413.49,443.87,392.57,443.87,443.87,"3,142,304,145"
"Oct 11, 2021",404.53,423.55,401.22,413.46,413.46,"1,473,121,389"
"Oct 10, 2021",421.80,422.05,402.83,405.07,405.07,"1,437,068,558"
"Oct 09, 2021",418.76,425.97,416.82,421.55,421.55,"1,404,867,667"
"Oct 08, 2021",438.48,441.51,416.71,419.10,419.10,"2,678,048,368"
"Oct 07, 2021",434.96,449.94,424.31,438.76,438.76,"1,962,989,705"
"Oct 06, 2021",442.41,442.48,415.67,435.40,435.40,"2,006,344,571"
"Oct 05, 2021",426.21,443.91,424.11,442.71,442.71,"1,526,827,785"
"Oct 04, 2021",430.58,430.73,411.95,425.75,425.75,"1,647,171,955"
"Oct 03, 2021",427.35,437.10,421.94,430.51,430.51,"1,470,899,248"
"Oct 02, 2021",421.48,438.11,411.04,428.10,428.10,"1,740,937,420"
"Oct 01, 2021",387.64,423.34,382.13,421.64,421.64,"2,162,493,378"
"Sep 30, 2021",367.79,388.27,366.64,387.06,387.06,"1,796,235,646"
"Sep 29, 2021",333.40,375.01,331.45,367.99,367.99,"2,385,693,434"
"Sep 28, 2021",335.81,344.28,330.07,333.03,333.03,"1,294,330,921"
"Sep 27, 2021",344.65,357.29,335.79,336.19,336.19,"1,507,056,912"
"Sep 26, 2021",349.88,352.70,320.37,344.18,344.18,"1,958,526,741"
"Sep 25, 2021",355.41,360.63,344.19,349.88,349.88,"1,388,464,569"
"Sep 24, 2021",383.81,385.32,335.51,355.32,355.32,"2,081,157,733"
"Sep 23, 2021",379.16,384.78,369.65,383.82,383.82,"1,576,382,603"
"Sep 22, 2021",343.67,380.01,342.68,379.44,379.44,"1,678,913,732"
"Sep 21, 2021",364.05,375.67,339.01,344.53,344.53,"2,045,164,899"
"Sep 20, 2021",408.51,409.64,357.27,361.97,361.97,"2,344,102,082"
"Sep 19, 2021",410.60,419.18,403.72,408.47,408.47,"1,243,314,915"
"Sep 18, 2021",406.46,420.00,401.78,410.81,410.81,"1,310,349,981"
